"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Chris Sale","Red Sox","BOS @ KCA",".53","7.23","28.85","6.16","4.07","1.20",".11",".79","1.71","7.72","26.64","45.15","25.27","10603"
"Michael Pineda","Yankees","ANA @ NYA",".52","6.13","25.31","5.75","3.73",".97",".05","1.00","1.81","5.96","19.72","34.96","18.35","5372"
"Gio Gonzalez","Nationals","WAS @ MIA",".41","6.31","27.21","6.34","4.45","1.18",".15",".56","2.75","5.54","16.90","32.88","16.26","7448"
"Brandon McCarthy","Dodgers","NYN @ LAN",".43","5.88","24.01","5.34","3.33","1.04",".05",".92","1.63","5.24","18.34","31.95","16.82","4662"
"Zack Greinke","Diamondbacks","ARI @ COL",".39","6.03","25.69","6.44","4.13","1.23",".17",".91","1.87","5.82","17.16","32.22","16.21","1943"
"Ervin Santana","Twins","CHA @ MIN",".42","6.37","26.58","6.56","4.41","1.21",".17",".78","1.70","5.00","17.03","31.82","15.88","3200"
"Ariel Miranda","Mariners","DET @ SEA",".39","5.74","24.09","5.45","3.37",".99",".06","1.03","2.02","5.57","17.22","31.06","16.01","17526"
"Matt Moore","Giants","SFN @ ATL",".42","5.82","25.06","6.11","4.24","1.16",".08",".62","2.20","4.84","15.24","29.44","14.37","1890"
"Alex Cobb","Rays","CIN @ TBA",".39","6.14","26.38","6.55","4.60","1.17",".17",".62","2.25","4.39","14.30","28.61","13.49","6562"
"Francisco Liriano","Blue Jays","TOR @ TEX",".37","5.31","23.50","5.02","3.32",".97",".09",".65","3.24","5.26","14.37","28.02","13.75","3201"
"Matt Strahm","Royals","BOS @ KCA",".23","5.44","23.68","5.01","3.20","1.01",".12",".67","3.01","5.00","14.07","27.26","13.26","13799"
"German Marquez","Rockies","ARI @ COL",".30","5.44","23.85","5.92","3.84","1.13",".20",".76","2.26","5.05","13.72","27.01","13.00","15038"
"Edinson Volquez","Marlins","WAS @ MIA",".30","5.44","23.71","5.46","3.65","1.10",".18",".52","2.63","4.69","13.68","26.71","12.89","3990"
"Zach Davies","Brewers","PIT @ MIL",".36","5.72","24.72","5.99","4.05","1.14",".13",".67","2.36","4.28","13.25","26.52","12.45","13183"
"Derek Holland","White Sox","CHA @ MIN",".30","5.51","24.31","6.04","3.90","1.17",".13",".84","2.44","4.90","13.05","26.48","12.43","4141"
"Mike Leake","Cardinals","SLN @ PHI",".41","5.81","25.23","6.88","4.42","1.39",".11",".96","1.65","4.39","13.07","26.42","12.30","10130"
"Jhoulys Chacin","Padres","SDN @ CHN",".29","5.41","23.92","5.44","3.43","1.02",".10",".89","2.91","4.76","12.77","25.84","12.14","2608"
"Amir Garrett","Reds","CIN @ TBA",".30","5.15","23.11","5.43","3.62",".95",".16",".70","2.91","5.00","12.64","25.63","12.17","14375"
"Francis Martes","Astros","HOU @ OAK",".34","5.21","22.99","4.79","2.99",".99",".07",".74","3.14","4.55","12.89","25.31","12.21","17303"
"Sonny Gray","Athletics","HOU @ OAK",".34","5.64","24.35","6.03","4.06","1.20",".09",".68","2.11","3.95","12.66","25.33","11.80","12768"
"Mike Montgomery","Cubs","SDN @ CHN",".34","5.05","21.64","4.92","3.28",".91",".09",".63","2.21","4.13","13.14","24.26","12.21","4869"
"Jordan Zimmermann","Tigers","DET @ SEA",".31","5.61","24.24","6.37","4.08","1.16",".10","1.03","1.77","3.98","11.78","23.99","10.96","4505"
"Chad Kuhl","Pirates","PIT @ MIL",".30","4.98","21.77","5.30","3.37","1.01",".11",".81","2.15","4.42","12.22","23.45","11.47","14975"
"Julio Teheran","Braves","SFN @ ATL",".27","5.52","24.34","6.35","4.21","1.19",".10",".84","2.14","4.09","11.24","23.74","10.62","6797"
"Robert Gsellman","Mets","NYN @ LAN",".28","5.50","24.25","5.81","3.75","1.19",".07",".81","2.60","3.95","11.26","23.61","10.63","13696"
"Jeremy Hellickson","Phillies","SLN @ PHI",".27","5.29","23.25","6.13","3.65","1.15",".10","1.23","1.89","3.96","10.48","21.90","9.79","4371"
"Nick Martinez","Rangers","TOR @ TEX",".28","5.37","23.52","5.78","3.59","1.02",".07","1.10","2.24","3.55","10.28","21.58","9.53","12730"
"Josh Tomlin","Indians","CLE @ BAL",".35","5.34","22.86","6.47","3.76","1.09",".04","1.58",".93","3.51","10.65","21.18","9.66","9388"
"Chris Tillman","Orioles","CLE @ BAL",".30","5.22","23.15","5.69","3.33","1.04",".07","1.25","2.48","3.47","9.16","20.18","8.57","5279"
"Parker Bridwell","Angels","ANA @ NYA",".18","4.65","21.73","5.37","3.09",".86",".06","1.37","2.96","3.87","7.10","17.46","6.97","11502"
